date,open,high,low,close,volume
2020-01-02,5.9419,5.9708,5.8914,5.9708,5915270
2020-01-03,5.8511,5.919,5.8262,5.8752,5121165
2020-01-06,5.7818,5.905,5.7557,5.8998,6543200
2020-01-07,5.9282,6.0171,5.8832,5.9713,7944289
2020-01-08,5.9671,6.0238,5.927,5.9825,6899877
2020-01-09,6.0689,6.1206,5.9943,6.0482,6357357
2020-01-10,6.1554,6.1858,6.0663,6.0805,7875940
2020-01-13,6.1636,6.2962,6.1409,6.2711,7972347
2020-01-14,6.2284,6.2538,6.141,6.1542,8949058
2020-01-15,6.1669,6.1892,6.0857,6.1116,6548012
2020-01-16,6.1651,6.2012,6.1416,6.1952,7072769
2020-01-17,6.2145,6.2219,6.1565,6.204,6316257
2020-01-21,6.1672,6.2042,6.1365,6.1706,5423403
2020-01-22,6.2159,6.3112,6.197,6.2231,5954034
2020-01-23,6.2646,6.3015,6.1758,6.293,6085302
2020-01-24,6.4085,6.4583,6.1795,6.2338,9295787
2020-01-27,5.9292,6.029,5.7796,5.978,11710459
2020-01-28,6.0439,6.2037,5.9907,6.1713,7739349
2020-01-29,6.1569,6.193,6.0711,6.1109,6457115
2020-01-30,6.0131,6.131,5.9581,6.1176,7229912
2020-01-31,6.0718,6.0837,5.8423,5.8841,9218740
2020-02-03,5.866,6.0006,5.8597,5.9812,6369399
2020-02-04,6.123,6.1696,6.073,6.1504,6757988
2020-02-05,6.2714,6.2816,6.1574,6.2408,5182086
2020-02-06,6.2751,6.3276,6.194,6.3275,5432475
2020-02-07,6.2875,6.3097,6.2361,6.2614,4722421
2020-02-10,6.2841,6.5454,6.2791,6.5447,13180678
2020-02-11,6.6529,6.7818,6.5909,6.6671,15892053
2020-02-12,6.7198,6.7893,6.6809,6.7828,9323916
2020-02-13,6.7248,6.8062,6.6974,6.739,13140906
2020-02-14,7.1491,7.341,7.1178,7.2121,25930699
2020-02-18,7.109,7.3993,7.0895,7.3809,15477099
2020-02-19,7.5033,7.8498,7.5032,7.8321,17280175
2020-02-20,7.784,7.8724,7.3754,7.6828,20160205
