date,open,high,low,close,volume
2002-05-23,0.1156,0.1242,0.1145,0.1196,7481579
2002-05-24,0.1215,0.1225,0.1197,0.121,793201
2002-05-28,0.1214,0.1232,0.1157,0.1157,472100
2002-05-29,0.1165,0.1165,0.1086,0.1104,482919
2002-05-30,0.1107,0.1107,0.1071,0.1071,724962
2002-05-31,0.1078,0.1078,0.1071,0.1076,604320
2002-06-03,0.108,0.115,0.1077,0.1129,225200
2002-06-04,0.1136,0.114,0.1111,0.1118,221800
2002-06-05,0.1111,0.116,0.1107,0.1147,109400
2002-06-06,0.115,0.1232,0.1149,0.1182,164700
2002-06-07,0.1179,0.1179,0.1104,0.1119,97844
2002-06-10,0.1135,0.1174,0.1135,0.1156,34585
2002-06-11,0.1157,0.1189,0.1129,0.1154,71731
2002-06-12,0.1154,0.1182,0.109,0.1093,128500
2002-06-13,0.1105,0.1122,0.108,0.1083,183400
2002-06-14,0.1081,0.1085,0.098,0.0986,341227
2002-06-17,0.1014,0.106,0.0918,0.0922,346800
2002-06-18,0.0939,0.094,0.0842,0.0911,772425
2002-06-19,0.0911,0.0996,0.0893,0.0951,391395
2002-06-20,0.0972,0.104,0.095,0.0957,436500
2002-06-21,0.0981,0.0989,0.0948,0.0979,167515
2002-06-24,0.098,0.1015,0.0957,0.0979,183494
2002-06-25,0.0988,0.1006,0.0947,0.0964,281354
2002-06-26,0.0964,0.0997,0.0922,0.0989,209006
2002-06-27,0.101,0.1019,0.0944,0.0944,272845
2002-06-28,0.096,0.1013,0.096,0.0999,665068
2002-07-01,0.1,0.1047,0.0993,0.1028,327500
2002-07-02,0.1054,0.1196,0.104,0.1173,644301
2002-07-03,0.1178,0.1214,0.1118,0.1214,353955
2002-07-05,0.1214,0.1299,0.1213,0.1276,143044
2002-07-08,0.1253,0.1253,0.1168,0.1176,139559
2002-07-09,0.1176,0.1197,0.1115,0.1161,209791
2002-07-10,0.1162,0.1179,0.1132,0.1164,111048
2002-07-11,0.1154,0.1278,0.1133,0.1269,180629
2002-07-12,0.1279,0.128,0.1207,0.1208,202700
2002-07-15,0.1243,0.1249,0.1077,0.1143,302800
2002-07-16,0.1152,0.1156,0.1104,0.1126,138639
2002-07-17,0.1144,0.1163,0.1075,0.1089,90059
2002-07-18,0.1117,0.1166,0.111,0.1149,207010
2002-07-19,0.1153,0.1161,0.1122,0.116,128000
2002-07-22,0.1136,0.118,0.1116,0.1171,142491
2002-07-23,0.1176,0.1213,0.113,0.1146,112651
2002-07-24,0.1146,0.1159,0.1074,0.1114,239806
2002-07-25,0.1124,0.1127,0.1035,0.1036,339619
2002-07-26,0.1049,0.1058,0.085,0.0871,503114
2002-07-29,0.0896,0.0924,0.085,0.0876,232887
2002-07-30,0.0893,0.0942,0.0893,0.0914,269653
2002-07-31,0.0929,0.0961,0.0906,0.0954,238225
2002-08-01,0.0949,0.0959,0.0878,0.0891,323319
2002-08-02,0.0887,0.0888,0.0707,0.0778,475487
2002-08-05,0.0779,0.0813,0.0761,0.0775,272000
2002-08-06,0.0796,0.0804,0.0743,0.0761,229951
2002-08-07,0.0761,0.0794,0.0743,0.0794,197124
2002-08-08,0.0796,0.0803,0.075,0.0796,162998
2002-08-09,0.0799,0.0822,0.0779,0.0787,107200
2002-08-12,0.0803,0.0807,0.0754,0.0757,152200
2002-08-13,0.0768,0.0805,0.0755,0.0773,119800
2002-08-14,0.0776,0.0834,0.0772,0.0834,289337
2002-08-15,0.0837,0.0911,0.0833,0.0883,233100
2002-08-16,0.0893,0.0925,0.0857,0.0913,130600
2002-08-19,0.0925,0.0985,0.0918,0.0982,148200
2002-08-20,0.0984,0.0993,0.0921,0.0946,181439
2002-08-21,0.0954,0.0972,0.0919,0.0969,198653
2002-08-22,0.0974,0.1,0.093,0.0984,211865
2002-08-23,0.0995,0.0997,0.0968,0.0994,171987
2002-08-26,0.0997,0.0997,0.0938,0.0968,188900
2002-08-27,0.0969,0.0969,0.0858,0.0874,356204
2002-08-28,0.0861,0.0889,0.0825,0.0864,162406
2002-08-29,0.0833,0.0923,0.0825,0.0904,171195
2002-08-30,0.0914,0.0962,0.0894,0.0936,151419
2002-09-03,0.0937,0.0964,0.0914,0.0926,114182
2002-09-04,0.0926,0.0947,0.0908,0.0929,26714
2002-09-05,0.0918,0.0936,0.0911,0.0918,20400
2002-09-06,0.0927,0.0935,0.091,0.0914,54470
2002-09-09,0.0919,0.0924,0.0893,0.0901,101426
2002-09-10,0.0901,0.095,0.089,0.0945,339100
2002-09-11,0.0938,0.0976,0.0938,0.0961,116430
2002-09-12,0.0963,0.0967,0.0915,0.0925,138800
2002-09-13,0.0922,0.0928,0.0865,0.0879,178001
2002-09-16,0.0892,0.0892,0.0853,0.0857,250900
