date,open,high,low,close,volume
2005-01-03,2.4366,2.4671,2.3534,2.3593,1696930
2005-01-04,2.3331,2.3738,2.2219,2.2745,2272038
2005-01-05,2.2218,2.2838,2.1913,2.1972,2905687
2005-01-06,2.1972,2.2227,2.1701,2.1811,1680440
2005-01-07,2.2074,2.2134,2.1556,2.1879,2274329
2005-01-10,2.1768,2.2363,2.1548,2.1989,1424700
2005-01-11,2.1539,2.2184,2.1522,2.1709,1688751
2005-01-12,2.2125,2.2762,2.2066,2.2643,2554745
2005-01-13,2.2413,2.2779,2.2295,2.2371,1539057
2005-01-14,2.2431,2.3135,2.2422,2.3093,2327639
2005-01-18,2.2761,2.3169,2.2736,2.3118,1267542
2005-01-19,2.3051,2.3118,2.2236,2.2244,1716184
2005-01-20,2.2099,2.2957,2.1879,2.2354,4171360
2005-01-21,2.2074,2.2744,2.1955,2.2685,6344668
2005-01-24,2.2523,2.2702,2.1658,2.1683,2136633
2005-01-25,2.1938,2.238,2.1887,2.2159,1540517
2005-01-26,2.2074,2.2694,2.2023,2.249,2135998
2005-01-27,2.2388,2.322,2.2388,2.305,2760736
2005-01-28,2.2931,2.3075,2.2252,2.2583,1780916
2005-01-31,2.2541,2.3025,2.2541,2.2719,1221189
2005-02-01,2.2634,2.3135,2.2549,2.2999,1317285
2005-02-02,2.2898,2.3186,2.2779,2.3144,2145617
2005-02-03,2.3067,2.3364,2.294,2.322,2763477
2005-02-04,2.3076,2.4612,2.3033,2.4587,2554722
2005-02-07,2.4451,2.479,2.4171,2.4366,1917273
2005-02-08,2.4349,2.5656,2.4196,2.5342,4467578
2005-02-09,2.513,2.5291,2.4366,2.4442,3233832
2005-02-10,2.4621,2.4859,2.4188,2.4621,2582403
2005-02-11,2.4298,2.5512,2.4289,2.5325,3130180
2005-02-14,2.5165,2.564,2.5003,2.564,2496334
2005-02-15,2.5563,2.6489,2.5495,2.6098,3406833
2005-02-16,2.5937,2.6285,2.5291,2.5962,3770688
2005-02-17,2.5936,2.6276,2.5385,2.5461,2473682
2005-02-18,2.547,2.5657,2.5215,2.5487,1769742
2005-02-22,2.5469,2.6267,2.4951,2.5308,3207859
2005-02-23,2.5427,2.5605,2.4654,2.5028,2935187
2005-02-24,2.5317,2.704,2.5215,2.6565,8155175
2005-02-25,2.6404,2.7227,2.6268,2.7151,2786840
2005-02-28,2.6853,2.7176,2.6208,2.6692,2758088
2005-03-01,2.682,2.7389,2.682,2.7066,3406003
2005-03-02,2.6616,2.6981,2.6081,2.6667,4685360
2005-03-03,2.6616,2.6624,2.4807,2.5427,5734446
2005-03-04,2.5564,2.6056,2.5088,2.5156,3584836
2005-03-07,2.5156,2.6056,2.5156,2.5368,3267531
2005-03-08,2.5445,2.5589,2.4927,2.5054,2747620
2005-03-09,2.5028,2.5504,2.4791,2.4799,2590778
2005-03-10,2.4876,2.5046,2.4231,2.474,2950207
2005-03-11,2.4859,2.4944,2.4197,2.429,3091053
2005-03-14,2.4366,2.4511,2.3959,2.4341,2021993
2005-03-15,2.4417,2.4552,2.3593,2.3695,2714695
2005-03-16,2.3559,2.3695,2.3152,2.3177,2792616
2005-03-17,2.3161,2.3738,2.3135,2.3509,3100318
2005-03-18,2.3678,2.3687,2.3067,2.3364,2168301
2005-03-21,2.3364,2.3788,2.3245,2.3678,2333331
2005-03-22,2.3831,2.412,2.3483,2.3585,2149308
2005-03-23,2.3457,2.4018,2.3381,2.3729,1506770
2005-03-24,2.378,2.423,2.3737,2.4009,2290533
2005-03-28,2.4052,2.4409,2.3679,2.3687,1295823
2005-03-29,2.3755,2.4188,2.3475,2.3619,2058385
2005-03-30,2.3729,2.4255,2.3695,2.423,1213283
2005-03-31,2.4349,2.4587,2.4094,2.4502,2344500
2005-04-01,2.4705,2.4833,2.4009,2.4162,1924810
2005-04-04,2.4298,2.4298,2.3406,2.3797,3627196
2005-04-05,2.3797,2.3882,2.3177,2.3296,4109146
2005-04-06,2.3576,2.3644,2.3194,2.3347,3019064
2005-04-07,2.3389,2.3644,2.3262,2.361,1929381
2005-04-08,2.3764,2.4273,2.367,2.3772,1732554
2005-04-11,2.3551,2.3747,2.3356,2.3441,2306234
2005-04-12,2.3407,2.3602,2.2838,2.3585,2946512
2005-04-13,2.3474,2.3525,2.2074,2.215,4639020
