date,open,high,low,close,volume
1995-01-03,4.8576,4.9126,4.8576,4.9126,34931
1995-01-04,4.9126,4.9493,4.8576,4.9126,127494
1995-01-05,4.8943,4.986,4.8943,4.986,62207
1995-01-06,4.931,5.0226,4.931,5.0226,56224
1995-01-09,5.0134,5.0226,4.9676,5.0226,49889
1995-01-10,5.0226,5.041,4.986,5.041,37395
1995-01-11,4.986,5.041,4.986,5.041,35019
1995-01-12,4.986,5.0593,4.986,4.9997,131013
1995-01-13,5.0593,5.096,5.0043,5.096,81301
1995-01-16,5.096,5.151,5.0776,5.0776,269243
1995-01-17,5.1143,5.1326,5.0593,5.1143,125559
1995-01-18,5.0593,5.1143,5.0226,5.0776,119663
1995-01-19,5.041,5.041,4.986,5.0272,53233
1995-01-20,4.9676,4.9768,4.8393,4.8943,57896
1995-01-23,4.8393,4.8943,4.7843,4.8943,70566
1995-01-24,4.8943,4.9126,4.8576,4.876,23933
1995-01-25,4.8576,4.876,4.7843,4.876,267746
1995-01-26,4.8393,4.9126,4.8026,4.8576,100305
1995-01-27,4.8026,4.8576,4.8026,4.8576,34315
1995-01-30,4.8026,4.8393,4.7843,4.821,23141
1995-01-31,4.821,4.8393,4.766,4.8393,89659
1995-02-01,4.7843,4.8393,4.766,4.8393,73205
1995-02-02,4.7843,4.8393,4.766,4.8026,32731
1995-02-03,4.7661,4.8394,4.7661,4.8302,86404
1995-02-06,4.7843,4.8576,4.7843,4.8576,143419
1995-02-07,4.8576,4.8576,4.7843,4.8393,87107
1995-02-08,4.8393,4.9126,4.821,4.8576,93706
1995-02-09,4.876,4.9126,4.8576,4.8943,39242
1995-02-10,4.9126,5.1784,4.8943,5.041,329339
1995-02-13,4.986,5.0043,4.9493,4.986,134533
1995-02-14,5.0043,5.0226,4.9493,5.0226,68102
1995-02-15,4.6926,4.8026,4.6469,4.8026,457621
1995-02-16,4.766,4.821,4.7293,4.7476,154417
1995-02-17,4.7476,4.7476,4.656,4.711,161896
1995-02-21,4.711,4.711,4.601,4.601,235892
1995-02-22,4.601,4.711,4.601,4.711,191724
1995-02-23,4.656,4.7293,4.656,4.7293,102153
1995-02-24,4.6743,4.821,4.6743,4.821,86492
1995-02-27,4.7843,4.8393,4.7752,4.8393,69422
1995-02-28,4.7935,4.8576,4.7935,4.8576,91683
1995-03-01,4.821,4.8943,4.821,4.8576,174479
1995-03-02,4.8027,4.8943,4.8027,4.8485,192606
1995-03-03,4.821,4.9126,4.821,4.9126,71182
1995-03-06,4.8943,4.931,4.8576,4.931,103033
1995-03-07,4.931,5.0593,4.876,5.0593,142276
1995-03-08,5.0593,5.151,5.0226,5.096,286225
1995-03-09,5.1326,5.151,5.0776,5.151,188734
1995-03-10,5.151,5.206,5.1235,5.206,283850
1995-03-13,5.151,5.261,5.151,5.261,75582
1995-03-14,5.2426,5.6275,5.2426,5.5359,339543
1995-03-15,5.4809,5.5359,5.3342,5.3892,211521
1995-03-16,5.3525,5.4259,5.3159,5.4259,128285
1995-03-17,5.3892,5.5175,5.3892,5.4259,119223
1995-03-20,5.4809,5.5359,5.4305,5.4992,110336
1995-03-21,5.4809,5.5542,5.4809,5.5359,68982
1995-03-22,5.5725,5.5725,5.4809,5.5359,165416
1995-03-23,5.5359,5.7192,5.4992,5.6825,370780
1995-03-24,5.6825,5.7192,5.6459,5.7192,139373
1995-03-27,5.6825,5.7192,5.6459,5.7192,88516
1995-03-28,5.6642,5.7742,5.6642,5.7192,68806
1995-03-29,5.7192,5.7925,5.6642,5.7192,89923
1995-03-30,5.6642,5.7192,5.6275,5.6825,78573
1995-03-31,5.6275,5.7192,5.6092,5.7192,34403
1995-04-03,5.6459,5.6825,5.5725,5.6275,112976
1995-04-04,5.6275,5.6275,5.3892,5.4992,236510
1995-04-05,5.4442,5.4717,5.3525,5.4259,185037
1995-04-06,5.3709,5.4442,5.3342,5.3892,89131
1995-04-07,5.3892,5.3892,5.3159,5.3709,96258
1995-04-10,5.3159,5.4625,5.3159,5.4442,132333
1995-04-11,5.4625,5.4809,5.4075,5.4625,96434
1995-04-12,5.4259,5.4625,5.3525,5.3892,44257
1995-04-13,5.3892,5.4075,5.3342,5.4075,24460
1995-04-17,5.4992,5.7925,5.4992,5.7009,397089
1995-04-18,5.7192,5.7192,5.6459,5.6459,150723
1995-04-19,5.6459,5.7009,5.6459,5.6825,74877
1995-04-20,5.6642,5.6825,5.3525,5.5909,425155
1995-04-21,5.5175,5.6092,5.4809,5.5542,197620
1995-04-24,5.5359,6.1224,5.5175,6.1224,479793
1995-04-25,6.1224,6.3241,6.0124,6.1408,422866
1995-04-26,6.1591,6.1591,5.8658,6.0858,417675
1995-04-27,6.0491,6.1224,5.2059,5.3342,206857
1995-04-28,4.821,5.1326,4.766,4.9676,2391589
1995-05-01,5.0226,5.2059,4.9126,5.1418,466860
1995-05-02,5.1693,5.1876,5.041,5.041,163569
1995-05-03,5.151,5.2243,5.0593,5.151,112537
1995-05-04,5.0593,5.1876,5.0593,5.1876,117376
1995-05-05,5.206,5.261,5.1326,5.2518,112096
1995-05-08,5.261,5.2793,5.206,5.2243,76022
1995-05-09,5.2793,5.2793,5.206,5.2518,191725
1995-05-10,5.2792,5.4625,5.2059,5.4259,183013
1995-05-11,5.5175,5.5359,5.3525,5.4259,95818
1995-05-12,5.4259,5.4992,5.371,5.4351,46194
1995-05-15,5.4259,5.5359,5.3892,5.5359,40386
1995-05-16,5.5359,5.5909,5.4625,5.5725,84732
1995-05-17,5.5725,5.8659,5.4992,5.6459,230264
1995-05-18,5.7192,5.7192,5.4259,5.4625,222607
1995-05-19,5.4533,5.4625,5.3892,5.4625,66694
1995-05-22,4.4177,4.6194,4.3627,4.5461,4972932
1995-05-23,4.6376,4.7293,4.5826,4.711,1538981
1995-05-24,4.7294,4.821,4.6927,4.7202,758984
