date,open,high,low,close,volume
2012-01-03,12.2668,12.3597,12.2548,12.3217,9055444
2012-01-04,12.2849,12.4251,12.2632,12.3879,7791045
2012-01-05,12.4331,12.541,12.3648,12.5254,8128053
2012-01-06,12.5776,12.6669,12.5611,12.6564,9537038
2012-01-09,12.7492,12.8167,12.6249,12.6363,11806146
2012-01-10,12.7616,12.7643,12.6295,12.6816,7736383
2012-01-11,12.6648,12.6699,12.5638,12.6609,6444591
2012-01-12,12.6528,12.6714,12.5471,12.6261,6369764
2012-01-13,12.5755,12.598,12.5443,12.5788,6772309
2012-01-17,12.7104,12.764,12.6732,12.7254,7277973
2012-01-18,12.7931,12.8682,12.7733,12.8575,8293521
2012-01-19,12.8886,12.9252,12.7795,12.8167,7842477
2012-01-20,12.8089,12.8093,12.5771,12.5935,12403977
2012-01-23,12.6645,12.8377,12.6534,12.8065,9170584
2012-01-24,12.7372,12.7372,12.5709,12.5967,16408866
2012-01-25,13.6164,13.6168,13.2955,13.3833,28714096
2012-01-26,13.4342,13.4471,13.2778,13.3224,9707559
2012-01-27,13.3138,13.4378,13.2967,13.4019,8980212
2012-01-30,13.3548,13.6002,13.3452,13.5735,11366188
2012-01-31,13.6509,13.7303,13.5754,13.6776,11736062
2012-02-01,13.7354,13.7528,13.6497,13.6689,8091435
2012-02-02,13.6601,13.6982,13.6027,13.6368,5596992
2012-02-03,13.7021,13.783,13.65,13.7734,8587411
2012-02-06,13.7345,13.9322,13.7291,13.902,7473172
2012-02-07,13.9404,14.0752,13.9202,14.0476,9475055
2012-02-08,14.0976,14.2861,14.0736,14.2828,12221630
2012-02-09,14.4051,14.8842,14.3991,14.7769,26493834
2012-02-10,14.7106,14.9101,14.6384,14.7843,18915692
2012-02-13,14.9674,15.0962,14.8943,15.0594,15497339
2012-02-14,15.1212,15.268,15.0415,15.265,13794962
2012-02-15,15.4088,15.7693,14.8884,14.9117,45127988
2012-02-16,14.7269,15.1281,14.5809,15.0478,28301720
2012-02-17,15.0747,15.2143,14.9906,15.0451,16054377
2012-02-21,15.1877,15.4265,15.105,15.4265,18145507
