date,open,high,low,close,volume
1993-01-04,1.6173,1.6316,1.6078,1.6197,1382269
1993-01-05,1.6173,1.6506,1.6126,1.6459,1361034
1993-01-06,1.6554,1.6982,1.6507,1.6935,1663816
1993-01-07,1.6935,1.7102,1.6555,1.6602,1117882
1993-01-08,1.6602,1.6792,1.6411,1.6578,836800
1993-01-11,1.6601,1.6982,1.6411,1.6958,1109182
1993-01-12,1.6934,1.7362,1.6887,1.7077,1619779
1993-01-13,1.703,1.7553,1.6792,1.7363,1592570
1993-01-14,1.7553,1.7886,1.7221,1.7363,2307415
1993-01-15,1.6649,1.7315,1.6554,1.7077,3462161
1993-01-18,1.703,1.7077,1.6792,1.6982,963006
1993-01-19,1.6935,1.6983,1.6792,1.6816,1007730
1993-01-20,1.684,1.6935,1.6697,1.6816,912742
1993-01-21,1.6697,1.7125,1.6507,1.703,1395938
1993-01-22,1.7078,1.7173,1.6887,1.7006,934038
1993-01-25,1.6982,1.7173,1.6697,1.684,943975
1993-01-26,1.6839,1.7125,1.6649,1.6744,805721
1993-01-27,1.6649,1.6697,1.6269,1.6411,1221403
1993-01-28,1.6411,1.6578,1.6126,1.6554,1465703
1993-01-29,1.6649,1.6744,1.6316,1.6459,750143
1993-02-01,1.6411,1.6744,1.6268,1.6649,815402
1993-02-02,1.6626,1.703,1.6602,1.6935,1339030
1993-02-03,1.703,1.7173,1.6745,1.6816,1364850
1993-02-04,1.6697,1.6697,1.6079,1.6174,2363581
1993-02-05,1.6126,1.703,1.5651,1.6935,3372082
1993-02-08,1.6839,1.6934,1.6173,1.6316,1763178
1993-02-09,1.6507,1.6602,1.5889,1.596,1228282
1993-02-10,1.6079,1.6411,1.5983,1.6269,745772
1993-02-11,1.6411,1.6459,1.6126,1.6221,601944
1993-02-12,1.6221,1.6221,1.584,1.5912,661249
1993-02-16,1.5769,1.5936,1.5175,1.5246,1734972
1993-02-17,1.5413,1.546,1.4699,1.527,2319118
1993-02-18,1.5459,1.5745,1.5031,1.5531,2635363
1993-02-19,1.5579,1.5603,1.5128,1.5175,1847524
1993-02-22,1.5175,1.5413,1.4604,1.4604,1450993
1993-02-23,1.4841,1.5317,1.4604,1.5127,2016426
1993-02-24,1.5032,1.5984,1.4985,1.596,1476228
1993-02-25,1.5698,1.6174,1.5698,1.6055,1157041
1993-02-26,1.6031,1.6173,1.5793,1.5864,555783
1993-03-01,1.5936,1.5936,1.546,1.5508,502949
1993-03-02,1.5555,1.6126,1.546,1.6102,730285
1993-03-03,1.6126,1.6269,1.5888,1.6126,805859
1993-03-04,1.6126,1.6126,1.5555,1.5936,1078109
1993-03-05,1.5888,1.6173,1.5698,1.5745,677913
1993-03-08,1.5722,1.6079,1.5603,1.5912,913450
1993-03-09,1.5984,1.6174,1.5936,1.6031,786084
1993-03-10,1.6079,1.6317,1.5889,1.6174,504781
1993-03-11,1.6221,1.6697,1.6173,1.6459,1099398
1993-03-12,1.6364,1.6982,1.6221,1.6935,1400102
1993-03-15,1.6982,1.6982,1.6554,1.6673,672570
1993-03-16,1.6792,1.6887,1.6554,1.6697,691395
1993-03-17,1.6507,1.665,1.6221,1.6245,754359
1993-03-18,1.6316,1.6507,1.6174,1.6221,654551
1993-03-19,1.6317,1.6317,1.5984,1.6031,863962
1993-03-22,1.584,1.5983,1.5698,1.5864,648515
1993-03-23,1.5889,1.6174,1.5793,1.5817,654746
1993-03-24,1.584,1.6506,1.5793,1.6411,962326
1993-03-25,1.6459,1.6792,1.6435,1.6625,833609
1993-03-26,1.6745,1.6792,1.6364,1.6483,540026
1993-03-29,1.6507,1.684,1.6507,1.6554,918317
1993-03-30,1.6839,1.7362,1.6601,1.7315,2678642
1993-03-31,1.7363,1.7934,1.7268,1.7601,3418576
1993-04-01,1.7601,1.8029,1.7601,1.7696,1910650
1993-04-02,1.7458,1.7505,1.7077,1.7077,1393766
1993-04-05,1.6887,1.7552,1.6744,1.741,1164218
1993-04-06,1.7458,1.7695,1.6982,1.7077,1064428
1993-04-07,1.7126,1.7221,1.6983,1.7173,750051
1993-04-08,1.7125,1.7173,1.6792,1.6935,764655
1993-04-12,1.6887,1.7363,1.684,1.7149,931918
1993-04-13,1.7173,1.7553,1.6887,1.6911,1014897
1993-04-14,1.6935,1.7173,1.6697,1.6935,734332
1993-04-15,1.6745,1.7101,1.6364,1.6578,2076931
1993-04-16,1.6601,1.6697,1.6269,1.6554,943768
1993-04-19,1.6554,1.6601,1.6173,1.6554,869058
1993-04-20,1.6507,1.665,1.6174,1.6507,875478
1993-04-21,1.6507,1.6507,1.6031,1.615,1760617
1993-04-22,1.6079,1.6174,1.577,1.5841,1519830
1993-04-23,1.5793,1.5841,1.5365,1.5484,1699133
1993-04-26,1.5508,1.5699,1.5175,1.5294,1242481
1993-04-27,1.5317,1.5745,1.527,1.5698,1107564
1993-04-28,1.5793,1.6364,1.5746,1.6364,1053628
1993-04-29,1.6316,1.6316,1.5983,1.6269,944940
1993-04-30,1.6174,1.6507,1.6174,1.6269,887948
1993-05-03,1.6269,1.6555,1.6174,1.6388,724898
