date,open,high,low,close,volume
1999-01-04,2.4142,2.4767,2.3934,2.3934,331898
1999-01-05,2.3726,2.3726,2.2581,2.3726,691813
1999-01-06,2.4142,2.6744,2.4142,2.612,1510918
1999-01-07,2.6328,2.7056,2.6016,2.6744,399448
1999-01-08,2.9137,3.2155,2.8929,3.0282,2369610
1999-01-11,3.0074,3.0179,2.9242,2.9554,1194706
1999-01-12,2.9762,2.997,2.9554,2.9866,1426187
1999-01-13,2.8408,3.0594,2.7888,3.0594,1338555
1999-01-14,3.1115,3.2988,3.1011,3.2988,1244990
1999-01-15,3.2988,3.7566,3.2988,3.7462,1468423
1999-01-19,3.4965,3.7046,3.4549,3.7046,996515
1999-01-20,3.7671,3.8087,3.5693,3.6422,1036229
1999-01-21,3.5382,3.6005,3.4133,3.4965,802125
1999-01-22,3.3716,3.3716,3.2883,3.3196,577196
1999-01-25,3.1842,3.2259,3.1634,3.1947,374652
1999-01-26,3.2468,3.4653,3.2468,3.4445,530948
1999-01-27,3.4861,3.5069,3.3508,3.3612,348556
1999-01-28,3.3612,3.4236,3.3092,3.3716,493861
1999-01-29,3.3612,3.3612,3.278,3.33,485947
1999-02-01,3.2259,3.2363,3.1219,3.2051,711202
1999-02-02,3.1635,3.1739,3.0802,3.1531,647260
1999-02-03,3.1843,3.5069,3.1843,3.4653,962616
1999-02-04,3.382,3.3925,3.2676,3.2676,325787
1999-02-05,3.2363,3.2883,3.1738,3.1947,467810
1999-02-08,3.33,3.382,3.2468,3.2676,265609
1999-02-09,3.2259,3.2259,3.0178,3.0594,396439
1999-02-10,3.0386,3.0698,2.9553,3.049,311312
1999-02-11,3.049,3.3508,3.049,3.3508,666369
1999-02-12,3.2259,3.2363,3.1531,3.1635,621645
1999-02-16,3.1635,3.2051,3.1531,3.1531,68587
1999-02-17,3.1635,3.1739,3.1219,3.1531,195767
1999-02-18,3.1531,3.2156,3.1115,3.1115,171849
1999-02-19,3.1531,3.2259,3.1531,3.1843,431013
1999-02-22,3.2883,3.4133,3.2883,3.3508,325130
1999-02-23,3.33,3.3612,3.2883,3.3508,460228
1999-02-24,3.4029,3.6214,3.4029,3.4861,674017
1999-02-25,3.4548,3.5069,3.3508,3.4028,614156
1999-02-26,3.4236,3.4236,3.205,3.2467,1052040
1999-03-01,3.2259,3.2675,3.1635,3.2259,479716
1999-03-02,3.1948,3.1948,3.1011,3.1219,228151
1999-03-03,3.1531,3.1531,3.0698,3.1011,249995
1999-03-04,3.2051,3.2676,3.1219,3.1843,579762
1999-03-05,3.2676,3.3092,3.2468,3.2884,196425
1999-03-08,3.2883,3.382,3.2883,3.3508,197623
1999-03-09,3.3612,3.4757,3.278,3.278,301266
1999-03-10,3.3508,3.5381,3.3403,3.5381,521490
1999-03-11,3.6214,3.6839,3.5798,3.6318,589547
