date,open,high,low,close,volume
2003-01-02,2.8864,2.9551,2.842,2.9389,2764442
2003-01-03,2.9429,3.0317,2.9429,3.0075,2353087
2003-01-06,3.0195,3.1286,3.0034,3.0882,3231155
2003-01-07,3.1205,3.1528,3.068,3.1003,3035437
2003-01-08,3.068,3.0721,2.959,2.9671,2293275
2003-01-09,3.0195,3.1286,3.0155,3.1286,2443510
2003-01-10,3.1326,3.2779,3.0518,3.2295,5071712
2003-01-13,3.403,3.4192,3.3142,3.3506,3668227
2003-01-14,3.3708,3.3748,3.29,3.3385,2511129
2003-01-15,3.3506,3.4717,3.278,3.4556,3568559
2003-01-16,3.383,3.4597,3.2538,3.2699,3087667
2003-01-17,3.1891,3.1891,3.0518,3.064,3431529
2003-01-21,3.1003,3.173,3.0398,3.0479,1791757
2003-01-22,3.0075,3.1206,2.9792,3.068,1850835
2003-01-23,3.2497,3.3143,3.2094,3.3103,3384575
2003-01-24,3.3104,3.3104,3.1004,3.1246,1502212
2003-01-27,3.0518,3.1286,3.0155,3.0236,3052583
2003-01-28,2.9066,3.2296,2.842,2.8864,6143558
2003-01-29,2.846,2.9188,2.7855,2.9066,4098216
2003-01-30,2.9389,2.9389,2.7492,2.7653,2424982
2003-01-31,2.7047,2.7532,2.6644,2.7047,3060383
2003-02-03,2.7089,2.8178,2.7089,2.7774,1715719
2003-02-04,2.7814,2.7814,2.7168,2.7451,1552275
2003-02-05,2.8056,2.8985,2.7734,2.8743,3341960
2003-02-06,2.725,2.7895,2.7047,2.7411,2704386
2003-02-07,2.7411,2.7654,2.6725,2.6967,1980486
2003-02-10,2.6643,2.6845,2.5796,2.6119,2076516
2003-02-11,2.6119,2.6482,2.5997,2.6119,3612647
2003-02-12,2.6158,2.6724,2.5997,2.628,1766047
2003-02-13,2.6038,2.624,2.5675,2.5836,2214920
2003-02-14,2.6119,2.7976,2.6119,2.7653,3378054
2003-02-18,2.7854,2.8904,2.7854,2.8541,3394589
2003-02-19,2.842,2.8582,2.7936,2.8178,1466887
2003-02-20,2.9469,3.0075,2.9388,2.9913,4340134
2003-02-21,2.9873,3.0438,2.9146,3.0156,2090314
2003-02-24,3.0276,3.0802,2.9348,2.9348,2247183
2003-02-25,2.8259,2.9227,2.8097,2.9066,2161192
2003-02-26,2.8946,2.939,2.83,2.8501,1028166
2003-02-27,2.8541,2.8945,2.7975,2.8218,2218642
2003-02-28,2.838,2.8905,2.8219,2.8622,1207643
2003-03-03,2.9389,2.9833,2.9106,2.9348,2519072
2003-03-04,2.8662,2.8865,2.8057,2.8178,1999318
2003-03-05,2.8057,2.8097,2.7128,2.733,2665846
2003-03-06,2.7329,2.7612,2.6643,2.7612,2575961
2003-03-07,2.729,2.8339,2.7008,2.8097,2350811
2003-03-10,2.7854,2.8177,2.7653,2.7693,1497547
2003-03-11,2.7854,2.8581,2.7854,2.8299,1389518
2003-03-12,2.8541,2.9146,2.8541,2.8945,2327556
2003-03-13,2.9671,3.1165,2.9551,3.1165,4391598
2003-03-14,3.1164,3.1932,3.1044,3.1084,2521827
