date,open,high,low,close,volume
2010-01-04,7.634,7.7669,7.6207,7.6938,5379274
2010-01-05,7.7071,7.747,7.6108,7.6606,9553612
2010-01-06,7.6805,7.7137,7.5609,7.634,9041453
2010-01-07,7.5808,7.6008,7.3549,7.3815,18169061
2010-01-08,7.4015,7.4546,7.3284,7.3749,11225282
2010-01-11,7.4081,7.4679,7.2287,7.335,14759328
2010-01-12,7.2287,7.2619,7.0493,7.1091,13862074
2010-01-13,7.1157,7.315,7.1157,7.2951,8957559
2010-01-14,7.3151,7.3151,7.2155,7.2221,5775618
2010-01-15,7.2686,7.2686,7.0161,7.0427,10251022
2010-01-19,7.0958,7.3017,7.0493,7.2818,9898245
2010-01-20,7.2419,7.2486,7.1157,7.1755,9042200
2010-01-21,7.2154,7.2619,7.0161,7.036,9264545
2010-01-22,6.9828,7.0094,6.7038,6.7038,13964401
2010-01-25,6.7038,6.9032,6.7038,6.7437,13690987
2010-01-26,6.7503,6.7636,6.6108,6.644,14559802
2010-01-27,6.664,6.7371,6.6042,6.6374,15258126
2010-01-28,6.7636,6.7769,6.5709,6.6772,26741381
2010-01-29,6.8035,6.8865,6.7104,6.7503,19980430
2010-02-01,6.7371,6.8367,6.5909,6.6972,15330708
2010-02-02,6.6971,6.6971,6.5775,6.6174,12131368
2010-02-03,6.6307,6.7371,6.5909,6.6839,9853291
2010-02-04,6.6573,6.6772,6.3782,6.4314,12205475
2010-02-05,6.3783,6.4514,6.2421,6.3517,22411089
2010-02-08,6.4447,6.4713,6.2653,6.3849,16724976
2010-02-09,6.4447,6.5228,6.3451,6.3783,19477886
2010-02-10,6.3783,6.4646,6.3185,6.4447,11644045
2010-02-11,6.4712,6.5842,6.3782,6.5709,9119552
2010-02-12,6.5045,6.5443,6.4114,6.4513,9011815
2010-02-16,6.4779,6.5908,6.458,6.5842,6333568
2010-02-17,6.6108,6.6839,6.5776,6.6573,9274582
2010-02-18,6.6839,6.7105,6.5842,6.6839,3430362
2010-02-19,6.6772,6.7038,6.5909,6.6573,5351797
2010-02-22,6.6639,6.7038,6.6307,6.644,5596138
2010-02-23,6.664,6.664,6.4946,6.5444,12037735
2010-02-24,6.5443,6.6174,6.4779,6.5244,8795037
2010-02-25,6.4779,6.5045,6.3517,6.4779,12169004
2010-02-26,6.4646,6.4978,6.4048,6.4779,6238562
2010-03-01,6.5842,6.6407,6.5709,6.6108,9052431
2010-03-02,6.6573,6.7105,6.5776,6.6108,8020003
2010-03-03,6.6839,6.6905,6.5178,6.551,8789675
2010-03-04,6.4913,6.5843,6.478,6.5577,14587049
2010-03-05,6.6374,6.7437,6.6175,6.7304,11775636
2010-03-08,6.7702,6.8101,6.7436,6.7968,10729842
2010-03-09,6.7702,6.8699,6.7503,6.8101,9312822
