date,open,high,low,close,volume
1996-01-02,11.4383,11.4383,10.8884,10.9984,401486
1996-01-03,10.8518,11.1451,10.4852,10.4852,827610
1996-01-04,10.4485,10.5218,9.6419,9.9719,901961
1996-01-05,9.7153,9.8986,9.4953,9.8619,795495
1996-01-08,9.8619,9.8986,9.6786,9.6786,45401
1996-01-09,9.7154,9.752,8.5055,8.7255,1360470
1996-01-10,8.6888,9.2754,8.2855,8.4505,1713206
1996-01-11,8.8354,9.1287,8.6888,9.092,783264
1996-01-12,9.092,9.9536,8.5421,9.6053,1233933
1996-01-15,9.5319,9.5319,8.5787,8.8354,1323678
1996-01-16,9.0554,9.202,8.4321,9.0004,1311539
1996-01-17,8.5788,8.6155,7.5156,7.8089,3057217
1996-01-18,7.8822,8.1756,7.2957,7.9556,1613522
1996-01-19,8.2122,8.2122,7.5523,7.9922,1080667
1996-01-22,8.1021,8.4321,7.9556,8.3588,857349
1996-01-23,8.4688,8.8355,8.2488,8.5788,700910
1996-01-24,8.6888,8.7988,8.2488,8.4688,396736
1996-01-25,8.4688,8.6521,8.3588,8.4688,668969
1996-01-26,8.4321,8.6521,8.3221,8.5421,285168
1996-01-29,8.652,8.6887,8.2488,8.2488,514021
1996-01-30,8.5055,9.4587,8.4688,9.1654,1262885
1996-01-31,9.0554,9.4953,8.7987,9.037,937769
1996-02-01,8.982,9.0187,8.762,8.9454,418643
1996-02-02,8.982,9.7153,8.982,9.6419,1216159
1996-02-05,9.6419,10.0086,9.3854,9.7886,643804
1996-02-06,9.7519,10.0086,9.5686,9.8069,641604
1996-02-07,9.4587,9.7887,9.422,9.532,521065
1996-02-08,9.422,9.6054,9.0554,9.312,680233
1996-02-09,9.2387,9.2387,8.6155,8.6155,1078818
1996-02-12,8.7255,8.8354,8.4321,8.4688,623744
1996-02-13,8.2855,8.5055,8.0655,8.2855,477243
1996-02-14,8.3221,8.3955,7.8821,8.2121,811065
1996-02-15,8.1389,8.1389,7.8089,8.1022,879088
1996-02-16,8.0655,8.3588,7.9922,8.2855,733902
1996-02-20,8.2121,9.0187,8.1755,8.9454,1089546
1996-02-21,8.9454,9.3854,8.8721,9.312,1217837
1996-02-22,9.3854,10.1553,9.3487,9.9169,1385100
1996-02-23,10.0086,10.1918,9.2754,9.7153,1164865
1996-02-26,9.6054,9.8253,9.2387,9.312,692375
1996-02-27,9.3486,9.6419,9.1654,9.5686,601392
1996-02-28,9.532,9.9353,9.3487,9.4954,622251
1996-02-29,9.2754,10.1918,9.2387,9.7886,1238423
1996-03-01,8.0289,8.2489,7.1857,7.4057,6221027
1996-03-04,7.479,7.5157,6.5624,6.5808,2026364
1996-03-05,6.5624,6.6358,6.1591,6.3058,2794835
1996-03-06,6.4524,6.7824,6.3058,6.5624,1563369
1996-03-07,6.5991,6.6724,6.3424,6.4158,556346
1996-03-08,6.1592,6.7091,6.0125,6.6358,1435614
1996-03-11,6.6358,7.2957,6.5991,7.204,1546737
1996-03-12,7.0757,7.589,6.968,7.4423,1684709
